TEMPERATURE,TURBIDITY,DISOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
27.0625,100,0,6.05951,0,226,50,32.01,275.9
27.0625,100,0,6.0822,0,238,50,32.01,275.9
27.0625,100,4.66,6.05497,1.00E-05,144,50,32.01,275.9
27,100,0,6.08674,1.00E-05,219,50,32.01,275.9
27.0625,100,0,5.95056,2.00E-05,202,50,32.01,275.9
27.0625,100,0,6.19569,0,143,50,32.01,275.9
27.0625,100,0,6.05951,2.00E-05,173,50,32.01,275.9
27.0625,100,0,6.21385,1.00E-05,159,50,32.01,275.9
27.0625,100,15.898,6.04135,0.00072,162,50,32.01,275.9
27.0625,100,0.361,6.04135,1.00E-05,155,50,32.01,275.9
27.0625,100,0,6.05043,1.00E-05,144,50,32.01,275.9
27.125,100,0,6.06858,0,160,50,32.01,275.9
-127,100,0,6.37727,0,0,50,32.58643,296.0429
25,51,0,6.44082,10.03751,1078,50,32.58643,296.0429
26.1875,51,1.53,5.17885,0,2074,50,32.58643,296.0429
26.1875,51,3.266,5.16977,0,1467,50,32.58643,296.0429
26.1875,51,5.795,5.42852,0,1314,50,32.58643,296.0429
26.1875,51,2.086,5.88701,184994592,1184,50,32.58643,296.0429
26.1875,51,2.962,6.34095,17.41409,1067,50,32.58643,296.0429
26.25,51,8.102,6.36819,17.82417,1046,50,32.58643,296.0429
26.1875,51,5.855,6.36819,19.72259,1041,50,32.58643,296.0429
26.25,51,0,6.37273,15.62758,1008,50,32.58643,296.0429
26.1875,51,4.591,6.38635,14.52579,1002,50,32.58643,296.0429
26.25,51,8.148,6.37273,16.24242,999,50,32.58643,296.0429
26.1875,51,6.807,6.29556,13.5051,999,50,32.58643,296.0429
26.1875,51,10.364,6.37727,14.75078,974,50,32.58643,296.0429
26.1875,51,14.125,6.3001,14.30438,976,50,32.58643,296.0429
26.1875,51,17.545,6.37273,13.71357,971,50,32.58643,296.0429
26.1875,51,18.565,6.25924,13.92539,975,50,32.58643,296.0429
26.25,51,24.132,6.35003,11.86128,970,50,32.58643,296.0429
26.1875,51,20.431,6.37273,12.80117,950,50,32.58643,296.0429
26.1875,51,26.043,6.34095,12.99829,961,50,32.58643,296.0429
26.1875,51,29.203,6.33187,12.51132,949,50,32.58643,296.0429
26.1875,51,31.434,6.37273,12.65538,947,50,32.58643,296.0429
26.1875,51,35.265,6.36819,12.41623,935,50,32.58643,296.0429
26.1875,51,35.851,6.4272,53.9394,969,50,32.58643,296.0429
26.25,51,35.288,6.31825,11.90653,922,50,32.58643,296.0429
26.25,51,35.341,6.2547,11.33211,922,50,32.58643,296.0429
26.25,51,35.531,6.24562,11.20371,938,50,32.58643,296.0429
26.25,51,35.516,6.20931,10.95138,944,50,32.58643,296.0429
26.25,51,35.425,6.28648,10.82744,912,50,32.58643,296.0429
26.25,51,35.31,6.2774,10.46429,928,50,32.58643,296.0429
26.25,51,35.318,6.37273,10.30696,931,50,32.58643,296.0429
26.25,51,35.272,6.39997,10.38532,928,50,32.58643,296.0429
26.25,51,35.303,6.37273,10.15208,925,50,32.58643,296.0429
26.25,51,35.387,6.37273,11.20371,945,50,32.58643,296.0429
26.25,51,35.257,6.39089,9.92427,921,50,32.58643,296.0429
26.1875,51,35.493,6.18661,9.92427,931,50,32.58643,296.0429
26.25,51,35.95,6.4045,78.96195,976,50,32.58643,296.0429
26.25,51,35.318,6.31825,10.15208,916,50,32.58643,296.0429
26.25,51,35.272,6.4045,9.27205,924,50,32.58643,296.0429
26.25,51,35.257,6.43174,10.19057,899,50,32.58643,296.0429
26.25,51,35.31,6.29102,10.66445,898,50,32.58643,296.0429
26.25,51,35.28,6.33187,10.70496,882,50,32.58643,296.0429
26.25,51,35.31,6.36819,10.78645,880,50,32.58643,296.0429
26.25,51,35.31,6.34549,9.96187,896,50,32.58643,296.0429
26.25,51,35.447,6.37273,11.50572,912,50,32.58643,296.0429
26.25,51,35.516,6.36365,11.20371,918,50,32.58643,296.0429
26.25,51,35.356,6.37273,9.96187,880,50,32.58643,296.0429
26.25,51,35.303,6.38635,9.34227,887,50,32.58643,296.0429
26.25,51,35.371,6.44536,10.66445,905,50,32.58643,296.0429
26.25,51,35.356,6.39997,9.52026,880,50,32.58643,296.0429
26.25,51,35.356,6.36819,9.70175,886,50,32.58643,296.0429
26.25,51,33.658,6.37273,10.15208,922,50,32.58643,296.0429
26.25,51,35.31,6.37273,9.34227,891,50,32.58643,296.0429
26.25,51,29.173,6.32279,9.20236,887,50,32.58643,296.0429
26.3125,51,35.364,6.37273,8.18873,910,50,32.58643,296.0429
26.25,51,33.627,6.36819,9.84952,912,50,32.58643,296.0429
26.25,51,35.097,6.34549,8.37552,903,50,32.58643,296.0429
26.3125,51,33.726,6.32279,8.7624,892,50,32.58643,296.0429
26.25,51,35.257,6.3001,9.16772,887,50,32.58643,296.0429
26.25,51,30.818,6.26832,32.5082,903,50,32.58643,296.0429
26.25,51,30.254,6.22293,9.92427,879,50,32.58643,296.0429
26.3125,51,30.475,6.22747,9.99962,886,50,32.58643,296.0429
26.25,51,33.627,6.2774,34.68159,911,50,32.58643,296.0429
26.3125,51,34.968,6.21839,90.08328,913,50,32.58643,296.0429
26.3125,51,30.894,6.27286,9.59243,866,50,32.58643,296.0429
26.25,51,31.259,6.22293,9.99962,871,50,32.58643,296.0429
26.25,51,30.109,6.21839,9.92427,866,50,32.58643,296.0429
26.25,51,29.873,6.44082,10.99302,880,50,32.58643,296.0429
26.3125,51,27.269,6.35003,8.89541,859,50,32.58643,296.0429
26.3125,51,29.462,6.24108,8.50249,880,50,32.58643,296.0429
26.3125,51,33.521,6.24108,45.26582,912,50,32.58643,296.0429
26.3125,51,32.044,6.26832,32.247,913,50,32.58643,296.0429
26.3125,51,29.393,6.32279,9.23714,880,50,32.58643,296.0429
26.3125,51,29.058,6.32279,9.44865,861,50,32.58643,296.0429
26.3125,51,28.701,6.36819,9.66517,866,50,32.58643,296.0429
26.3125,51,29.325,6.32733,9.88682,864,50,32.58643,296.0429
26.3125,51,28.662,6.39543,10.03751,854,50,32.58643,296.0429
26.3125,51,29.013,6.38635,9.34227,861,50,32.58643,296.0429
26.3125,51,33.902,6.3001,9.16772,863,50,32.58643,296.0429
26.3125,51,30.49,6.38181,8.12741,879,50,32.58643,296.0429
26.3125,51,28.655,6.37273,9.30709,874,50,32.58643,296.0429
26.375,51,21.489,6.41358,9.23714,864,50,32.58643,296.0429
26.375,51,31.96,6.35457,9.62873,869,50,32.58643,296.0429
26.3125,51,28.404,6.32733,9.55627,854,50,32.58643,296.0429
26.3125,51,27.672,6.35003,9.88682,850,50,32.58643,296.0429
26.3125,51,28.921,6.38181,10.26801,858,50,32.58643,296.0429
26.3125,51,27.406,6.30464,10.62411,848,50,32.58643,296.0429
26.3125,51,26.789,6.22747,10.26801,848,50,32.58643,296.0429
26.3125,51,30.985,6.15937,793.87335,915,50,32.58643,296.0429
26.3125,51,27.353,6.3001,9.70175,855,50,32.58643,296.0429
26.375,51,28.411,6.36365,9.84952,853,50,32.58643,296.0429
26.3125,51,31.945,6.41358,11.20371,867,50,32.58643,296.0429
26.375,51,29.873,6.37273,9.59243,851,50,32.58643,296.0429
26.3125,51,27.855,6.42266,9.77534,878,50,32.58643,296.0429
26.375,51,27.368,6.37727,8.50249,876,50,32.58643,296.0429
26.3125,51,27.063,6.35003,8.43876,902,50,32.58643,296.0429
26.3125,51,28.373,6.22747,8.79546,896,50,32.58643,296.0429
26.3125,51,26.408,6.05951,1042.56079,992,50,32.58643,296.0429
26.375,51,26.957,6.33187,7.10092,910,50,32.58643,296.0429
26.375,51,26.355,6.20023,71.76852,951,50,32.58643,296.0429
26.375,51,29.599,6.37727,7.74023,896,50,32.58643,296.0429
26.3125,51,31.114,5.85069,0,1022,50,32.58643,296.0429
26.3125,51,26.18,6.35911,8.0062,900,50,32.58643,296.0429
26.375,51,25.274,5.9778,8.37552,911,50,32.58643,296.0429
26.375,51,29.203,5.93694,54.62479,965,50,32.58643,296.0429
26.375,51,25.228,6.41812,9.44865,898,50,32.58643,296.0429
26.3125,51,27.688,6.42266,8.9627,887,50,32.58643,296.0429
26.375,51,25.426,6.4045,7.04796,886,50,32.58643,296.0429
26.375,51,25.807,6.42266,6.61371,912,50,32.58643,296.0429
26.375,51,28.533,6.44536,7.28955,911,50,32.58643,296.0429
26.375,51,22.411,6.43628,7.39964,902,50,32.58643,296.0429
26.375,51,25.182,6.44082,7.74023,897,50,32.58643,296.0429
26.375,51,26.957,6.44082,8.40708,927,50,32.58643,296.0429
26.3125,51,23.065,6.20931,7.79854,932,50,32.58643,296.0429
26.3125,51,26.69,6.22293,7.9762,928,50,32.58643,296.0429
26.375,51,26.804,6.18207,8.31278,917,50,32.58643,296.0429
26.375,51,27.193,6.13214,8.31278,912,50,32.58643,296.0429
26.375,51,26.012,6.16845,8.06658,909,50,32.58643,296.0429
26.375,51,23.088,6.17753,8.34409,918,50,32.58643,296.0429
26.375,51,33.011,6.22747,8.12741,894,50,32.58643,296.0429
26.375,51,28.404,6.08674,525.38983,990,50,32.58643,296.0429
26.375,51,29.553,6.21385,7.53964,930,50,32.58643,296.0429
26.375,51,26.728,6.01865,4049.44189,1010,50,32.58643,296.0429
26.375,51,24.428,6.03227,9.52026,959,50,32.58643,296.0429
26.375,51,27.117,5.93694,40.49681,992,50,32.58643,296.0429
26.3125,51,25.053,6.07766,2462.54419,993,50,32.58643,296.0429
26.375,51,19.692,6.07766,8.43876,937,50,32.58643,296.0429
26.375,51,24.687,6.01865,14.08651,955,50,32.58643,296.0429
26.375,51,35.425,6.06858,10.78645,992,50,32.58643,296.0429
26.375,51,26.523,6.03227,8.2505,1009,50,32.58643,296.0429
26.375,51,25.883,6.00049,1571.43384,1072,50,32.58643,296.0429
26.375,51,24.116,6.01411,9.48438,1014,50,32.58643,296.0429
26.375,51,26.089,6.00957,12.99829,1003,50,32.58643,296.0429
26.375,51,28.411,6.01411,15.2118,991,50,32.58643,296.0429
26.375,51,27.17,5.96418,109582.9063,1008,50,32.58643,296.0429
26.375,51,26.728,5.98687,24.97006,964,50,32.58643,296.0429
26.375,51,26.53,5.93694,44.89249,969,50,32.58643,296.0429
26.375,51,27.2,5.93694,46.02271,979,50,32.58643,296.0429
26.375,51,22.22,5.93694,54.62479,999,50,32.58643,296.0429
26.375,51,23.956,5.94148,41.33721,976,50,32.58643,296.0429
26.4375,51,27.292,5.94602,30.35826,957,50,32.58643,296.0429
26.4375,51,24.512,5.9778,20.9141,977,50,32.58643,296.0429
26.375,51,29.789,5.96872,21.49604,1004,50,32.58643,296.0429
26.4375,51,24.794,5.98233,35275.54688,1037,50,32.58643,296.0429
26.375,51,25.525,5.96418,31.73132,960,50,32.58643,296.0429
26.4375,51,25.731,5.74628,1181.57947,1017,50,32.58643,296.0429
26.375,51,25.388,6.05043,35714.80859,983,50,32.58643,296.0429
26.375,51,26.325,5.95964,52.81781,952,50,32.58643,296.0429
26.375,51,22.913,5.87793,135.3235,975,50,32.58643,296.0429
26.3125,51,23.439,5.9324,66.41728,955,50,32.58643,296.0429
26.375,51,27.223,5.86431,0,1004,50,32.58643,296.0429
26.375,51,24.824,5.9097,0,1013,50,32.58643,296.0429
26.4375,51,26.355,5.91878,70.53969,1006,50,32.58643,296.0429
26.4375,51,26.926,5.80076,297.18951,1017,50,32.58643,296.0429
26.375,51,24.855,5.85977,0,1023,50,32.58643,296.0429
26.4375,51,24.786,5.86885,91.28735,1003,50,32.58643,296.0429
26.4375,51,26.127,5.89155,55.31966,1017,50,32.58643,296.0429
26.4375,51,26.431,5.90062,40.00143,1008,50,32.58643,296.0429
26.375,51,24.025,5.93694,33.576,988,50,32.58643,296.0429
26.4375,51,23.027,5.92786,4.26E+11,1017,50,32.58643,296.0429
26.4375,51,24.741,5.98687,24.19193,983,50,32.58643,296.0429
26.4375,51,23.949,5.94148,41.33721,975,50,32.58643,296.0429
26.4375,51,23.652,5.88247,65.56876,971,50,32.58643,296.0429
26.375,51,26.789,5.88247,0,1030,50,32.58643,296.0429
26.375,51,20.073,5.69635,2571.66504,1033,50,32.58643,296.0429
26.375,51,22.563,5.79168,298.71381,1049,50,32.58643,296.0429
26.4375,51,25.083,5.72812,1055.56946,1072,50,32.58643,296.0429
26.375,51,24.634,5.79622,257.89053,1035,50,32.58643,296.0429
26.375,51,25.814,5.85069,191.03909,1009,50,32.58643,296.0429
26.375,51,23.225,5.85523,0,1043,50,32.58643,296.0429
26.375,51,24.406,5.85523,145.09064,989,50,32.58643,296.0429
26.375,51,25.144,5.92332,45.83223,967,50,32.58643,296.0429
26.4375,51,35.257,5.85977,0,1008,50,32.58643,296.0429
26.4375,51,21.253,5.86885,118.45274,973,50,32.58643,296.0429
26.4375,51,23.157,6.05951,10.15208,930,50,32.58643,296.0429
26.4375,51,24.246,5.93694,29.04869,950,50,32.58643,296.0429
26.375,51,24.406,5.93694,36.11905,945,50,32.58643,296.0429
26.4375,51,22.86,5.96418,34.68159,951,50,32.58643,296.0429
26.4375,51,22.449,5.99141,17.54966,944,50,32.58643,296.0429
26.4375,51,25.121,5.9551,24.97006,933,50,32.58643,296.0429
26.4375,51,25.327,5.96872,20190.15039,963,50,32.58643,296.0429
26.375,51,23.157,5.96872,18.38684,943,50,32.58643,296.0429
26.4375,51,24.337,5.99595,10912.0332,1008,50,32.58643,296.0429
26.4375,51,21.847,6.00503,17.8935,955,50,32.58643,296.0429
26.4375,51,21.931,5.97326,30852.03516,993,50,32.58643,296.0429
26.4375,51,20.888,5.96872,24.57771,944,50,32.58643,296.0429
26.4375,51,23.332,5.96872,20.66985,938,50,32.58643,296.0429
26.4375,51,25.655,5.96872,33.17122,941,50,32.58643,296.0429
26.5,51,22.007,5.94148,32.7717,944,50,32.58643,296.0429
26.4375,51,24.718,5.94602,53364.86328,963,50,32.58643,296.0429
26.4375,51,17.598,5.95964,24.00146,957,50,32.58643,296.0429
26.4375,51,23.355,5.95964,28.58759,955,50,32.58643,296.0429
26.4375,51,21.908,5.98233,22.62283,944,50,32.58643,296.0429
26.4375,51,20.08,5.99595,20.50868,950,50,32.58643,296.0429
26.4375,51,22.624,5.94148,33.03748,954,50,32.58643,296.0429
26.4375,51,27.832,5.97326,27.03444,944,50,32.58643,296.0429
26.4375,51,24.215,5.98687,23.2554,944,50,32.58643,296.0429
26.4375,51,23.043,5.95964,22.62283,974,50,32.58643,296.0429
26.4375,51,21.725,5.99595,18.67518,966,50,32.58643,296.0429
26.5,51,23.332,5.95964,37.31527,951,50,32.58643,296.0429
26.4375,51,22.761,5.93694,436442.1563,971,50,32.58643,296.0429
26.4375,51,23.081,5.96872,28.58759,930,50,32.58643,296.0429
26.4375,51,23.926,5.9778,23.8126,918,50,32.58643,296.0429
26.4375,51,23.507,5.98687,22.18221,924,50,32.58643,296.0429
26.4375,51,22.54,6.00503,16.17981,930,50,32.58643,296.0429
26.4375,51,23.499,5.98687,18.82114,934,50,32.58643,296.0429
26.4375,51,21.984,5.96418,32.247,931,50,32.58643,296.0429
26.4375,51,21.314,5.93694,44.89249,933,50,32.58643,296.0429
26.4375,51,20.72,5.94602,28.47355,934,50,32.58643,296.0429
26.4375,51,36.338,5.94148,39.19034,934,50,32.58643,296.0429
26.375,51,24.071,5.95056,31.22447,925,50,32.58643,296.0429
26.5,51,22.281,5.98233,27.79942,922,50,32.58643,296.0429
26.4375,51,25.434,6.0822,8.59901,907,50,32.58643,296.0429
26.4375,51,23.789,6.04135,1480.6969,997,50,32.58643,296.0429
26.5,51,24.033,6.03227,2534.66797,992,50,32.58643,296.0429
26.4375,51,22.456,6.07312,8.82865,959,50,32.58643,296.0429
26.4375,51,22.746,6.07312,1029.74011,977,50,32.58643,296.0429
26.4375,51,22.426,6.16845,6.7891,934,50,32.58643,296.0429
26.4375,51,22.357,6.03227,11.95195,967,50,32.58643,296.0429
26.4375,51,22.159,6.01411,15.27048,935,50,32.58643,296.0429
26.4375,51,21.596,6.05497,9.41305,919,50,32.58643,296.0429
26.4375,51,22.487,6.05951,11.99755,915,50,32.58643,296.0429
26.4375,51,20.408,6.02319,13.5569,916,50,32.58643,296.0429
26.5,51,19.189,6.03227,12.89934,910,50,32.58643,296.0429
26.5,51,20.583,6.01865,10.46429,907,50,32.58643,296.0429
26.5,51,22.007,6.02319,11.90653,913,50,32.58643,296.0429
26.5,51,20.05,6.06858,1036.12683,978,50,32.58643,296.0429
26.5,51,21.611,6.06858,8.79546,933,50,32.58643,296.0429
26.4375,51,21.74,6.06858,552.42542,980,50,32.58643,296.0429
26.5,51,24.824,6.0822,8.53454,944,50,32.58643,296.0429
26.5,51,17.94,6.05951,7.9762,946,50,32.58643,296.0429
26.4375,51,23.781,6.03681,11.16123,944,50,32.58643,296.0429
26.5,51,19.326,6.06858,7.79854,924,50,32.58643,296.0429
26.5,51,24.33,6.09582,6.91729,923,50,32.58643,296.0429
26.5,51,18.839,6.10944,6.00171,938,50,32.58643,296.0429
26.5,51,19.57,6.09128,5.38673,963,50,32.58643,296.0429
26.5,51,19.692,6.0822,4.22983,1008,50,32.58643,296.0429
26.5,51,21.596,6.15937,5.01885,989,50,32.58643,296.0429
26.5,51,18.306,6.15937,6.13762,954,50,32.58643,296.0429
26.4375,51,21.025,6.15937,6.20674,949,50,32.58643,296.0429
26.5,51,23.355,6.16845,6.30013,943,50,32.58643,296.0429
26.5,51,20.644,6.1276,7.02162,931,50,32.58643,296.0429
26.5,51,20.195,6.1276,7.1543,927,50,32.58643,296.0429
26.5,51,23.56,6.11398,7.1543,918,50,32.58643,296.0429
26.4375,51,21.078,6.05951,8.7624,921,50,32.58643,296.0429
26.5,51,20.979,6.0822,8.72947,912,50,32.58643,296.0429
26.5,51,18.276,6.09582,8.15801,896,50,32.58643,296.0429
26.5,51,21.405,6.15937,8.15801,883,50,32.58643,296.0429
26.5,51,21.23,6.12306,7.68237,874,50,32.58643,296.0429
26.5,51,19.844,6.07766,7.74023,881,50,32.58643,296.0429
26.5,51,18.542,6.05497,11.41858,905,50,32.58643,296.0429
26.5,51,21.337,6.05043,3116.07617,922,50,32.58643,296.0429
26.4375,51,16.897,6.0822,8.09694,870,50,32.58643,296.0429
26.5,51,21.436,6.10944,411.06912,913,50,32.58643,296.0429
26.5,51,21.131,6.21839,154.92284,899,50,32.58643,296.0429
26.5,51,18.565,6.00503,8.37552,867,50,32.58643,296.0429
26.5,51,19.943,6.24562,7.07439,872,50,32.58643,296.0429
26.5,51,17.994,6.20477,7.34438,871,50,32.58643,296.0429
26.5,51,16.296,6.22747,7.31691,870,50,32.58643,296.0429
26.5,51,22.289,6.11398,7.28955,884,50,32.58643,296.0429
26.5,51,21.611,6.17299,7.6536,880,50,32.58643,296.0429
26.5,51,19.715,6.13214,8.0062,863,50,32.58643,296.0429
26.5,51,22.053,6.10944,404.52499,914,50,32.58643,296.0429
26.5625,51,17.446,6.22293,7.79854,848,50,32.58643,296.0429
26.5,51,19.121,6.23201,55.08699,909,50,32.58643,296.0429
26.5,51,18.946,6.29102,7.42742,847,50,32.58643,296.0429
26.5,51,21.976,6.35911,7.6536,847,50,32.58643,296.0429
26.5,51,21.9,6.34095,8.09694,843,50,32.58643,296.0429
26.5,51,22.159,6.13214,275.35095,939,50,32.58643,296.0429
26.5,51,18.953,6.21839,7.34438,890,50,32.58643,296.0429
26.5,51,20.507,6.21839,7.79854,877,50,32.58643,296.0429
26.5,51,19.806,6.16845,288.2258,911,50,32.58643,296.0429
26.5,51,21.169,6.19569,120.0845,902,50,32.58643,296.0429
26.5,51,15.626,6.08674,7.82786,909,50,32.58643,296.0429
26.5625,51,21.207,6.00503,13.5051,929,50,32.58643,296.0429
26.5625,51,18.321,6.18207,7.2623,896,50,32.58643,296.0429
26.5625,51,19.821,6.01411,14.86464,923,50,32.58643,296.0429
26.5,51,20.888,5.93694,30.85003,954,50,32.58643,296.0429
26.5,51,20.035,6.00049,10.66445,928,50,32.58643,296.0429
26.5,51,23.043,6.00957,27.68875,941,50,32.58643,296.0429
26.5625,51,15.717,6.00957,11.41858,932,50,32.58643,296.0429
26.5625,51,19.578,5.98687,20.58909,978,50,32.58643,296.0429
26.5,51,20.743,6.03681,2516.40332,1011,50,32.58643,296.0429
26.5,51,17.872,6.02773,18.17366,965,50,32.58643,296.0429
26.5,51,19.875,5.99595,14.24958,978,50,32.58643,296.0429
26.5,51,16.456,6.03227,14.3594,971,50,32.58643,296.0429
26.5625,51,18.024,6.06404,8.37552,946,50,32.58643,296.0429
26.5,51,18.58,5.93694,36.41419,971,50,32.58643,296.0429
26.5625,51,18.946,5.98687,20.75093,976,50,32.58643,296.0429
26.5,51,18.306,6.05043,12.32189,953,50,32.58643,296.0429
26.5625,51,21.611,6.01411,11.24634,964,50,32.58643,296.0429
26.5625,51,20.56,6.0822,6.81454,937,50,32.58643,296.0429
26.5,51,20.134,6.4045,6.09197,891,50,32.58643,296.0429
26.5625,51,20.857,6.06858,6.91729,929,50,32.58643,296.0429
26.5,51,21.474,6.0822,7.79854,915,50,32.58643,296.0429
26.5,51,20.255,6.1049,7.10092,901,50,32.58643,296.0429
26.5625,51,18.892,6.09128,6.09197,930,50,32.58643,296.0429
26.5,51,21.565,5.95964,16.30528,944,50,32.58643,296.0429
26.5625,51,20.674,5.93694,8.69667,925,50,32.58643,296.0429
26.5625,51,22.372,6.05951,7.07439,907,50,32.58643,296.0429
26.5625,51,21.969,6.03227,10.99302,910,50,32.58643,296.0429
26.5,51,20.971,6.12306,138.4951,916,50,32.58643,296.0429
26.5,51,18.656,6.35911,149.91672,900,50,32.58643,296.0429
26.5,51,17.986,6.11398,417.73453,939,50,32.58643,296.0429
26.5625,51,15.214,6.09128,7.02162,901,50,32.58643,296.0429
26.5625,51,21.794,6.08674,6.91729,898,50,32.58643,296.0429
26.5625,51,19.776,6.11398,7.31691,894,50,32.58643,296.0429
26.5625,51,20.278,6.08674,6.89145,906,50,32.58643,296.0429
26.5625,51,18.946,6.16845,5.93491,917,50,32.58643,296.0429
26.5,51,17.979,6.03227,8.9627,944,50,32.58643,296.0429
26.5,51,18.793,6.02319,13.5051,944,50,32.58643,296.0429
26.5625,51,19.471,5.94148,35714.80859,976,50,32.58643,296.0429
26.5625,51,19.159,5.95056,37.16339,939,50,32.58643,296.0429
26.5625,51,20.24,5.92332,54.16679,938,50,32.58643,296.0429
26.5,51,18.915,5.98233,26.2919,928,50,32.58643,296.0429
26.5625,51,18.938,5.86431,160.87512,969,50,32.58643,296.0429
26.5,51,18.611,5.91424,0,989,50,32.58643,296.0429
26.5625,51,17.712,6.03227,17.2128,929,50,32.58643,296.0429
26.5625,51,17.674,6.05043,9.92427,912,50,32.58643,296.0429
26.5625,51,20.377,6.03681,16.30528,912,50,32.58643,296.0429
26.5,51,18.138,6.05951,8.12741,898,50,32.58643,296.0429
26.5625,51,21.961,6.05951,9.84952,912,50,32.58643,296.0429
26.5625,51,20.728,5.87793,0,975,50,32.58643,296.0429
26.5625,51,19.829,6.05043,8.69667,949,50,32.58643,296.0429
26.5625,51,24.071,6.04135,9.96187,935,50,32.58643,296.0429
26.5625,51,20.659,5.99595,415.49911,976,50,32.58643,296.0429
26.5625,51,15.534,6.06858,12.65538,917,50,32.58643,296.0429
26.5625,51,19.365,5.9778,8471.39355,994,50,32.58643,296.0429
26.5625,51,16.707,5.95964,21.83626,958,50,32.58643,296.0429
26.5625,51,19.494,5.96418,23.71874,933,50,32.58643,296.0429
26.5625,51,18.009,5.99595,43181.70313,960,50,32.58643,296.0429
26.5625,51,19.585,5.94602,42.89785,934,50,32.58643,296.0429
26.5625,51,18.161,5.98233,21.66546,934,50,32.58643,296.0429
26.5625,51,19.174,6.04135,14.08651,971,50,32.58643,296.0429
26.5625,51,16.425,5.98687,17.34671,960,50,32.58643,296.0429
26.5625,51,21.421,6.03227,15.56746,947,50,32.58643,296.0429
26.5625,51,21.268,5.9324,51.29012,956,50,32.58643,296.0429
26.5625,51,18.908,6.00957,22.53397,935,50,32.58643,296.0429
26.5625,51,20.88,5.95056,29.28222,931,50,32.58643,296.0429
26.5625,51,17.857,5.93694,34.68159,926,50,32.58643,296.0429
26.5625,51,22.708,5.94602,35.82653,926,50,32.58643,296.0429
26.5625,51,18.443,5.94602,47.18384,915,50,32.58643,296.0429
26.5625,51,20.278,5.96872,264905.5625,947,50,32.58643,296.0429
26.5625,51,18.725,6.13214,696372.5,944,50,32.58643,296.0429
26.5625,51,17.948,5.9778,41.6786,917,50,32.58643,296.0429
26.5625,51,15.199,5.99595,25.98036,911,50,32.58643,296.0429
26.5625,51,17.971,6.01411,13.92539,917,50,32.58643,296.0429
26.5625,51,18.177,5.99595,16.49542,933,50,32.58643,296.0429
26.5625,51,19.418,5.9778,58734.82422,949,50,32.58643,296.0429
26.625,51,17.605,5.94602,57.46283,932,50,32.58643,296.0429
26.625,51,16.212,6.02773,11.77134,912,50,32.58643,296.0429
26.5625,51,19.905,6.02319,1978.71924,944,50,32.58643,296.0429
26.5625,51,17.529,6.15937,4.52248,941,50,32.58643,296.0429
26.5625,51,18.771,6.09582,5.32687,960,50,32.58643,296.0429
